Pattern_Name,LUTindexTemperature_20,LUTindexTemperature_25,LUTindexTemperature_26,LUTindexTemperature_28,LUTindexTemperature_30,LUTindexTemperature_32,LUTindexTemperature_35,LUTindexTemperature_40
LUTindex48,4.683073e+01,4.741536e+01,4.753229e+01,4.776614e+01,48,4.823386e+01,4.858464e+01,4.916929e+01
LUTindex49,4.778351e+01,4.839175e+01,4.851340e+01,4.875670e+01,49,4.924330e+01,4.960826e+01,5.021652e+01
LUTindex50,4.873724e+01,4.936862e+01,4.949489e+01,4.974745e+01,50,5.025256e+01,5.063139e+01,5.126279e+01
LUTindex51,4.969207e+01,5.034603e+01,5.047683e+01,5.073841e+01,51,5.126159e+01,5.165397e+01,5.230795e+01
LUTindex52,5.064815e+01,5.132407e+01,5.145926e+01,5.172963e+01,52,5.227037e+01,5.267593e+01,5.335186e+01
LUTindex53,5.160518e+01,5.230259e+01,5.244207e+01,5.272104e+01,53,5.327896e+01,5.369740e+01,5.439480e+01
LUTindex54,5.256284e+01,5.328142e+01,5.342514e+01,5.371257e+01,54,5.428743e+01,5.471858e+01,5.543716e+01
LUTindex55,5.352135e+01,5.426067e+01,5.440854e+01,5.470427e+01,55,5.529573e+01,5.573933e+01,5.647867e+01
LUTindex56,5.448094e+01,5.524046e+01,5.539237e+01,5.569618e+01,56,5.630382e+01,5.675955e+01,5.751912e+01
LUTindex57,5.544183e+01,5.622091e+01,5.637672e+01,5.668836e+01,57,5.731164e+01,5.777911e+01,5.855824e+01
LUTindex58,5.640427e+01,5.720212e+01,5.736170e+01,5.768085e+01,58,5.831916e+01,5.879790e+01,5.959582e+01
LUTindex59,5.736846e+01,5.818422e+01,5.834738e+01,5.867369e+01,59,5.932631e+01,5.981579e+01,6.063160e+01
LUTindex60,5.833466e+01,5.916733e+01,5.933386e+01,5.966693e+01,60,6.033307e+01,6.083267e+01,6.166535e+01
LUTindex61,5.930404e+01,6.015203e+01,6.032162e+01,6.066081e+01,61,6.133919e+01,6.184796e+01,6.269591e+01
LUTindex62,6.027715e+01,6.113858e+01,6.131087e+01,6.165543e+01,62,6.234456e+01,6.286140e+01,6.372279e+01
LUTindex63,6.125279e+01,6.212640e+01,6.230112e+01,6.265056e+01,63,6.334944e+01,6.387359e+01,6.474717e+01
LUTindex64,6.222974e+01,6.311487e+01,6.329190e+01,6.364595e+01,64,6.435405e+01,6.488513e+01,6.577026e+01
LUTindex65,6.320681e+01,6.410340e+01,6.428272e+01,6.464136e+01,65,6.535864e+01,6.589661e+01,6.679323e+01
LUTindex66,6.418278e+01,6.509138e+01,6.527310e+01,6.563655e+01,66,6.636345e+01,6.690864e+01,6.781729e+01
LUTindex67,6.515644e+01,6.607821e+01,6.626257e+01,6.663128e+01,67,6.736872e+01,6.792181e+01,6.884363e+01
LUTindex68,6.612658e+01,6.706329e+01,6.725063e+01,6.762532e+01,68,6.837468e+01,6.893671e+01,6.987343e+01
LUTindex69,6.709259e+01,6.804630e+01,6.823704e+01,6.861852e+01,69,6.938147e+01,6.995368e+01,7.090735e+01
LUTindex70,6.805523e+01,6.902762e+01,6.922210e+01,6.961105e+01,70,7.038895e+01,7.097236e+01,7.194470e+01
LUTindex71,6.901520e+01,7.000761e+01,7.020609e+01,7.060304e+01,71,7.139695e+01,7.199238e+01,7.298475e+01
LUTindex72,6.997322e+01,7.098661e+01,7.118929e+01,7.159464e+01,72,7.240536e+01,7.301339e+01,7.402678e+01
LUTindex73,7.093001e+01,7.196500e+01,7.217199e+01,7.258600e+01,73,7.341401e+01,7.403502e+01,7.507006e+01
LUTindex74,7.188627e+01,7.294312e+01,7.315449e+01,7.357724e+01,74,7.442276e+01,7.505692e+01,7.611386e+01
LUTindex75,7.284272e+01,7.392133e+01,7.413706e+01,7.456853e+01,75,7.543148e+01,7.607871e+01,7.715748e+01
LUTindex76,7.380007e+01,7.490000e+01,7.512000e+01,7.555999e+01,76,7.644002e+01,7.710006e+01,7.820017e+01
LUTindex77,7.475904e+01,7.587948e+01,7.610358e+01,7.655179e+01,77,7.744822e+01,7.812058e+01,7.924122e+01
LUTindex78,7.572033e+01,7.686013e+01,7.708810e+01,7.754405e+01,78,7.845596e+01,7.913992e+01,8.027990e+01
LUTindex79,7.668466e+01,7.784231e+01,7.807385e+01,7.853692e+01,79,7.946309e+01,8.015773e+01,8.131549e+01
LUTindex80,7.765275e+01,7.882637e+01,7.906110e+01,7.953055e+01,80,8.046945e+01,8.117363e+01,8.234727e+01
LUTindex81,7.862499e+01,7.981251e+01,8.005001e+01,8.052501e+01,81,8.147499e+01,8.218746e+01,8.337488e+01
LUTindex82,7.960079e+01,8.080042e+01,8.104034e+01,8.152017e+01,82,8.247982e+01,8.319953e+01,8.439901e+01
LUTindex83,8.057939e+01,8.178973e+01,8.203179e+01,8.251590e+01,83,8.348409e+01,8.421022e+01,8.542039e+01
LUTindex84,8.156006e+01,8.278006e+01,8.302405e+01,8.351203e+01,84,8.448796e+01,8.521990e+01,8.643974e+01
LUTindex85,8.254204e+01,8.377104e+01,8.401683e+01,8.450842e+01,85,8.549157e+01,8.622893e+01,8.745782e+01
LUTindex86,8.352457e+01,8.476230e+01,8.500984e+01,8.550492e+01,86,8.649507e+01,8.723768e+01,8.847534e+01
LUTindex87,8.450692e+01,8.575347e+01,8.600277e+01,8.650139e+01,87,8.749861e+01,8.824653e+01,8.949305e+01
LUTindex88,8.548833e+01,8.674417e+01,8.699533e+01,8.749767e+01,88,8.850233e+01,8.925583e+01,9.051166e+01
LUTindex89,8.646856e+01,8.773428e+01,8.798742e+01,8.849371e+01,89,8.950629e+01,9.026572e+01,9.153144e+01
LUTindex90,8.744881e+01,8.872440e+01,8.897952e+01,8.948976e+01,90,9.051024e+01,9.127560e+01,9.255119e+01
LUTindex91,8.842919e+01,8.971460e+01,8.997168e+01,9.048584e+01,91,9.151416e+01,9.228540e+01,9.357081e+01
LUTindex92,8.940970e+01,9.070485e+01,9.096388e+01,9.148194e+01,92,9.251806e+01,9.329515e+01,9.459030e+01
LUTindex93,9.039033e+01,9.169517e+01,9.195613e+01,9.247807e+01,93,9.352193e+01,9.430483e+01,9.560967e+01
LUTindex94,9.137108e+01,9.268554e+01,9.294843e+01,9.347422e+01,94,9.452578e+01,9.531446e+01,9.662892e+01
LUTindex95,9.235193e+01,9.367596e+01,9.394077e+01,9.447039e+01,95,9.552961e+01,9.632404e+01,9.764807e+01
LUTindex96,9.333287e+01,9.466644e+01,9.493315e+01,9.546657e+01,96,9.653343e+01,9.733356e+01,9.866713e+01
LUTindex97,9.431399e+01,9.565700e+01,9.592560e+01,9.646280e+01,97,9.753720e+01,9.834300e+01,9.968601e+01
LUTindex98,9.529550e+01,9.664775e+01,9.691820e+01,9.745910e+01,98,9.854090e+01,9.935225e+01,1.007045e+02
LUTindex99,9.627726e+01,9.763863e+01,9.791091e+01,9.845545e+01,99,9.954455e+01,1.003614e+02,1.017227e+02
LUTindex100,9.725914e+01,9.862957e+01,9.890366e+01,9.945183e+01,100,1.005482e+02,1.013704e+02,1.027409e+02
LUTindex101,9.824097e+01,9.962049e+01,9.989639e+01,1.004482e+02,101,1.015518e+02,1.023795e+02,1.037590e+02
LUTindex102,9.922262e+01,1.006113e+02,1.008890e+02,1.014445e+02,102,1.025555e+02,1.033887e+02,1.047774e+02
LUTindex103,1.002039e+02,1.016020e+02,1.018816e+02,1.024408e+02,103,1.035592e+02,1.043980e+02,1.057961e+02
LUTindex104,1.011847e+02,1.025924e+02,1.028739e+02,1.034369e+02,104,1.045631e+02,1.054076e+02,1.068153e+02
LUTindex105,1.021649e+02,1.035824e+02,1.038660e+02,1.044330e+02,105,1.055670e+02,1.064176e+02,1.078351e+02
LUTindex106,1.031443e+02,1.045722e+02,1.048577e+02,1.054289e+02,106,1.065711e+02,1.074278e+02,1.088557e+02
LUTindex107,1.041232e+02,1.055616e+02,1.058493e+02,1.064246e+02,107,1.075754e+02,1.084384e+02,1.098768e+02
LUTindex108,1.051018e+02,1.065509e+02,1.068407e+02,1.074204e+02,108,1.085796e+02,1.094491e+02,1.108982e+02
LUTindex109,1.060803e+02,1.075401e+02,1.078321e+02,1.084161e+02,109,1.095839e+02,1.104599e+02,1.119197e+02
LUTindex110,1.070590e+02,1.085295e+02,1.088236e+02,1.094118e+02,110,1.105882e+02,1.114705e+02,1.129410e+02
LUTindex111,1.080381e+02,1.095190e+02,1.098152e+02,1.104076e+02,111,1.115924e+02,1.124810e+02,1.139619e+02
LUTindex112,1.090178e+02,1.105089e+02,1.108071e+02,1.114036e+02,112,1.125964e+02,1.134911e+02,1.149822e+02
