0,0,0,0,0,0
1,1.002048,1.002048,1.002048,1.002048,1.002048
2,2.002048,2.002048,2.002048,2.002048,2.002048
3,3.002048,3.002048,3.002048,3.002048,3.002048
4,4.002048,4.002048,4.002048,4.002048,4.002048
5,5.002048,5.002048,5.002048,5.002048,5.002048
6,6.002048,6.002048,6.002048,6.002048,6.002048
7,7.002048,7.002048,7.002048,7.002048,7.002048
8,8.002048,8.002048,8.002048,8.002048,8.002048
9,9.002048,9.002048,9.002048,9.002048,9.002048
10,10.00205,10.00205,10.00205,10.00205,10.00205
11,11.00205,11.00205,11.00205,11.00205,11.00205
12,12.00205,12.00205,12.00205,12.00205,12.00205
13,13.00205,13.00205,13.00205,13.00205,13.00205
14,14.00205,14.00205,14.00205,14.00205,14.00205
15,15.00205,15.00205,15.00205,15.00205,15.00205
16,16.00205,16.00205,16.00205,16.00205,16.00205
17,17.00205,17.00205,17.00205,17.00205,17.00205
18,18.00205,18.00205,18.00205,18.00205,18.00205
19,19.00205,19.00205,19.00205,19.00205,19.00205
20,20.00205,20.00205,20.00205,20.00205,20.00205
21,21.00269,21.00551,21.00833,21.01257,21.01681
22,22.00339,22.00928,22.01516,22.02399,22.03283
23,23.00409,23.01304,23.02198,23.03541,23.04884
24,24.00479,24.0168,24.0288,24.04683,24.06486
25,25.00549,25.02056,25.03562,25.05825,25.08088
26,26.00619,26.02432,26.04245,26.06967,26.0969
27,27.00689,27.02808,27.04927,27.08109,27.11291
28,28.00759,28.03184,28.05609,28.09251,28.12893
29,29.00829,29.0356,29.06291,29.10393,29.14495
30,30.00899,30.03936,30.06973,30.11535,30.16097
31,31.0097,31.04313,31.07656,31.12677,31.17698
32,32.0104,32.04689,32.08338,32.13819,32.193
33,33.0111,33.05065,33.0902,33.14961,33.20902
34,34.0118,34.05441,34.09702,34.16103,34.22504
35,35.0125,35.05817,35.10384,35.17245,35.24105
36,36.0132,36.06193,36.11067,36.18387,36.25707
37,37.0139,37.06569,37.11749,37.19529,37.27309
38,38.0146,38.06945,38.12431,38.20671,38.2891
39,39.0153,39.07321,39.13113,39.21813,39.30512
40,40.016,40.07698,40.13795,40.22955,40.32114
41,41.01685,41.07988,41.1429,41.23734,41.33178
42,42.01774,42.08262,42.1475,42.24446,42.34142
43,43.01863,43.08536,43.15209,43.25158,43.35106
44,44.01952,44.0881,44.15669,44.2587,44.36071
45,45.0204,45.09085,45.16129,45.26582,45.37035
