Pattern_Name,LUTindexTemperature_20,LUTindexTemperature_25,LUTindexTemperature_26,LUTindexTemperature_28,LUTindexTemperature_30,LUTindexTemperature_32,LUTindexTemperature_35,LUTindexTemperature_40
LUTindex48,4.682691e+01,4.741345e+01,4.753076e+01,4.776538e+01,48,4.823462e+01,4.858655e+01,4.917310e+01
LUTindex49,4.778030e+01,4.839015e+01,4.851212e+01,4.875606e+01,49,4.924394e+01,4.960986e+01,5.021971e+01
LUTindex50,4.873456e+01,4.936728e+01,4.949382e+01,4.974691e+01,50,5.025309e+01,5.063273e+01,5.126546e+01
LUTindex51,4.968969e+01,5.034484e+01,5.047587e+01,5.073794e+01,51,5.126206e+01,5.165516e+01,5.231033e+01
LUTindex52,5.064569e+01,5.132284e+01,5.145828e+01,5.172914e+01,52,5.227086e+01,5.267716e+01,5.335431e+01
LUTindex53,5.160235e+01,5.230118e+01,5.244094e+01,5.272047e+01,53,5.327953e+01,5.369882e+01,5.439764e+01
LUTindex54,5.255953e+01,5.327976e+01,5.342381e+01,5.371191e+01,54,5.428809e+01,5.472023e+01,5.544047e+01
LUTindex55,5.351743e+01,5.425872e+01,5.440697e+01,5.470349e+01,55,5.529652e+01,5.574129e+01,5.648258e+01
LUTindex56,5.447627e+01,5.523813e+01,5.539050e+01,5.569525e+01,56,5.630475e+01,5.676188e+01,5.752377e+01
LUTindex57,5.543625e+01,5.621812e+01,5.637449e+01,5.668724e+01,57,5.731276e+01,5.778190e+01,5.856381e+01
LUTindex58,5.639757e+01,5.719878e+01,5.735902e+01,5.767951e+01,58,5.832049e+01,5.880124e+01,5.960250e+01
LUTindex59,5.736044e+01,5.818021e+01,5.834417e+01,5.867208e+01,59,5.932792e+01,5.981980e+01,6.063961e+01
LUTindex60,5.832507e+01,5.916253e+01,5.933003e+01,5.966501e+01,60,6.033499e+01,6.083747e+01,6.167494e+01
LUTindex61,5.929244e+01,6.014622e+01,6.031698e+01,6.065849e+01,61,6.134151e+01,6.185377e+01,6.270752e+01
LUTindex62,6.026297e+01,6.113149e+01,6.130520e+01,6.165260e+01,62,6.234740e+01,6.286849e+01,6.373697e+01
